Beacon, I_payload,Q_payload
7336,2144,912
7336,2304,942
7336,2640,1100
7336,2868,1298
7336,2918,1454
7336,3026,1608
7336,3120,1764
7336,3162,1948
7336,3082,2086
7336,2986,2274
7336,3108,2402
7336,3132,2482
7336,2942,2550
7336,2820,2622
7336,2822,2680
7336,2758,2740
7336,2682,2746
7336,2640,2698
7336,2576,2652
7336,2544,2654
7336,2420,2646
7336,2476,2586
7336,2470,2490
7336,2366,2414
7336,2286,2336
7336,2224,2302
7336,2262,2170
7336,2160,2046
7336,2176,1928
7336,2226,1840
7336,2080,1728
7336,2008,1594
7336,1924,1478
7336,1758,1370
7336,1566,1308
7336,1424,1206
7336,1250,1138
7336,1042,1080
7336,864,1134
7336,740,1264
7336,618,1392
7336,512,1594
7336,462,1814
7336,384,2016
7336,380,2302
7336,296,2490
7336,276,2632
7336,392,2830
7336,778,3072
7336,1490,3402
7336,2034,3536
7336,2336,3388
7336,2598,3140
7336,2764,2808
7336,2912,2456
7336,3014,2026
7336,2936,1570
7336,2540,1170
7336,2024,890
7336,1574,844
7336,1114,934
7336,764,1304
7336,692,1880
7336,718,2402
7336,920,2904
7336,1414,3304
7337,2048,3426
7337,2760,3332
7337,3168,2928
7337,3348,2394
7337,3320,1708
7337,2970,1088
7337,2446,756
7337,1842,790
7337,1234,1136
7337,864,1766
7337,1004,2540
7337,1392,3118
7337,1964,3300
7337,2498,3216
7337,2998,2776
7337,3238,2126
7337,3092,1398
7337,2584,874
7337,1744,730
7337,1156,1118
7337,894,1792
7337,1176,2620
7337,1676,3070
7337,2624,3082
7337,3276,2604
7337,3276,1830
7337,2898,1118
7337,2202,776
7337,1296,822
7337,832,1562
7337,1110,2524
7337,1820,3138
7337,2708,3138
7337,3218,2570
7337,3286,1704
7337,2786,1060
7337,1942,936
7337,1126,1326
7337,980,2214
7337,1542,3014
7337,2496,3232
7337,3218,2718
7337,3330,1740
7337,2786,866
7337,1794,656
7337,1042,1246
7337,876,2202
7337,1388,2980
7337,2294,3146
7337,3104,2612
7337,3218,1702
7337,2596,1046
7337,1688,1050
7337,1200,1734
7337,1270,2520
7337,2024,2902
7337,2742,2584
7337,2876,1724
7337,2244,904
7337,1264,822
7337,756,1642
7337,1150,2720
7337,1954,3222
7337,2800,2888
7337,3102,1922
7337,2522,1010
7337,1560,878
7337,878,1586
7337,964,2516
7337,1732,2988
7337,2782,2680
7337,3032,1776
7337,2446,942
7337,1368,848
7337,814,1674
7337,1202,2656
7337,2254,3042
7337,2910,2510
7337,2898,1456
7337,2108,826
7337,1198,1102
7337,1000,2108
7337,1714,2914
7337,2744,2884
7337,3080,2012
7337,2700,1128
7337,1688,870
7337,1130,1614
7337,1354,2600
7337,2248,2976
7337,2942,2476
7337,2854,1458
7337,2186,876
7337,1172,1128
7337,854,2064
7337,1716,3026
7337,2694,3030
7337,3110,2192
7337,2662,1182
7337,1618,838
7337,894,1424
7337,928,2406
7337,1730,2884
7337,2672,2510
7337,2788,1532
7337,2104,774
7337,1234,1016
7337,978,2060
7337,1596,2946
7337,2510,3032
7337,2992,2296
7337,2804,1376
7337,2010,1072
7337,1280,1640
7337,1038,2382
7337,1732,2968
7337,2644,2770
7337,3056,1956
7337,2502,1090
7337,1540,956
7337,954,1642
7337,1144,2524
7337,2048,2998
7337,2862,2688
7337,3114,1824
7337,2442,1148
7337,1550,1230
7337,1094,1988
7337,1440,2848
7337,2252,3138
7337,2910,2628
7337,3144,1766
7337,2624,1164
7337,1760,1168
7337,1152,1778
7337,1330,2592
7337,2034,3090
7337,2742,2866
7337,3104,2120
7337,2802,1396
7337,2032,1188
7337,1416,1626
7337,1246,2388
